,test_case,td_best,td_mean,td_std,obj_best,obj_mean,obj_std
0,X-n101-k25,34641.0,35344.72,300.8599508076806,64641.0,65424.72,494.87039717485624
1,X-n106-k14,30338.0,30424.4,432.0,44338.0,44464.4,632.0
2,X-n110-k13,16477.0,16863.04,321.11206247456147,29477.0,29863.04,321.11206247456147
3,X-n115-k10,16308.0,16561.76,218.49757435724544,27308.0,27561.76,218.49757435724544
4,X-n120-k6,15678.0,16576.12,555.7238013018098,21678.0,22576.12,555.7238013018098
5,X-n125-k30,69670.0,70820.84,541.0980872263365,105670.0,107460.84,941.8512656819371
6,X-n129-k18,37374.0,38160.52,434.3231439070837,56374.0,57160.52,434.3231439070837
7,X-n134-k13,14280.0,14786.04,304.15339879738315,28280.0,28786.04,304.15339879738315
8,X-n139-k10,15669.0,15810.0,282.9095850856477,25669.0,25890.0,476.1349598590719
9,X-n143-k7,19131.0,19878.2,568.285946216046,26131.0,26878.2,568.285946216046
10,X-n148-k46,55790.0,56663.64,437.5008457134683,109633.0,110503.64,480.2294486319361
11,X-n153-k22,27916.0,28723.8,527.4202151352689,56916.0,57763.8,593.735701582222
12,X-n157-k13,18949.0,19002.08,140.99524814687905,31949.0,32002.08,140.99524814687905
13,X-n162-k11,15858.0,16206.64,308.46256931217226,26858.0,27206.64,308.46256931217226
14,X-n167-k10,25126.0,26252.08,335.6442710171986,35126.0,36252.08,335.6442710171986
15,X-n172-k51,59328.0,60050.28,323.15070271727194,122328.0,123330.28,604.5767472648394
16,X-n176-k26,68895.0,69756.68,569.052261806125,101895.0,102836.68,803.8701035200484
17,X-n181-k23,29189.0,29493.48,210.24432612241088,52189.0,52493.48,210.24432612241088
18,X-n186-k15,28816.0,29674.4,344.50387032175223,43816.0,44674.4,344.50387032175223
19,X-n190-k8,19605.0,19999.916666666668,268.33203258303865,27605.0,27999.916666666668,268.33203258303865
20,X-n195-k51,58688.0,59483.28,533.795803655293,120688.0,121763.28,953.1655819775842
21,X-n200-k36,68658.0,69466.2,292.67672723786336,107658.0,108466.2,292.67672723786336
22,X-n204-k19,23746.0,23882.44,227.89033912534921,42746.0,42882.44,227.89033912534921
23,X-n209-k16,37087.0,37418.76,514.4464079636155,53087.0,53418.76,514.4464079636155
24,X-n214-k11,14042.0,14324.4,124.40424698002342,26042.0,26324.4,124.40424698002342
25,X-n219-k73,143352.0,145558.72,749.8852978956181,216352.0,218558.72,749.8852978956181
26,X-n223-k34,48846.0,49157.08,416.2718382659741,84846.0,85397.08,829.3525044675916
27,X-n228-k23,33755.0,34344.24,281.48819987108993,61755.0,62384.24,392.59683306584805
28,X-n233-k16,23390.0,23731.48,255.98276634700755,40390.0,40731.48,255.98276634700755
29,X-n237-k14,33593.0,34153.6,493.5898263403194,47593.0,48153.6,493.5898263403194
30,X-n242-k48,110733.0,111781.875,932.1667751744483,163733.0,164865.20833333334,1149.8078470531186
31,X-n247-k50,53060.0,53419.44,216.7494867352631,118060.0,118419.44,216.7494867352631
32,X-n251-k28,46313.0,46992.76,251.80039714027458,75313.0,75992.76,251.80039714027458
33,X-n256-k16,22061.0,22262.92,261.47385465217485,39061.0,39262.92,261.47385465217485
34,X-n261-k13,32850.0,33746.04,689.5423288916593,45850.0,46746.04,689.5423288916593
35,X-n266-k58,106054.0,108279.08,5371.110778352401,170054.0,171959.08,4270.661657557683
36,X-n270-k35,40638.0,41964.88,364.81505816874756,78638.0,79964.88,364.81505816874756
37,X-n275-k28,25287.0,25658.96,225.28009972772412,53287.0,53658.96,225.28009972772412
38,X-n280-k17,47982.0,48883.84,729.8217065375169,67982.0,69083.84,1100.358906599721
39,X-n284-k15,25136.0,25963.52,352.5403192071322,40136.0,40963.52,352.5403192071322
40,X-n289-k60,138801.0,139820.92,591.7576868955738,208342.0,208980.92,654.7547836149552
41,X-n294-k50,58799.0,59137.72,339.7655466151132,113799.0,114497.72,791.033475903517
42,X-n298-k31,42429.0,43202.0,356.55539541563525,75429.0,76202.0,356.55539541563525
43,X-n303-k21,25742.0,25907.0,92.3178386517651,46742.0,46947.0,281.99748816848233
44,X-n308-k13,33143.0,33795.96,781.0852215560946,46143.0,47035.96,1208.731066035783
45,X-n313-k71,118418.0,118641.64,151.01872952275377,200418.0,200681.64,316.75961969081015
46,X-n317-k53,94528.0,95572.12,656.3080018812306,147528.0,148572.12,656.3080018812306
47,X-n322-k28,35735.0,36120.28,181.56599351200106,64735.0,65200.28,411.8084627590842
48,X-n327-k20,35463.0,36186.84,301.1896799914189,55463.0,56186.84,301.1896799914189
49,X-n331-k15,37248.0,37892.64,635.9306094221287,52248.0,52892.64,635.9306094221287
50,X-n336-k84,201412.0,204339.2,1621.4798025260752,300412.0,302939.2,1483.5026401504426
51,X-n344-k43,49949.0,50277.16,230.46884822031808,94949.0,95397.16,515.0170450253727
52,X-n351-k40,33637.0,33865.92,208.7656022113477,75683.0,76625.92,547.3052865327236
53,X-n359-k29,66824.0,67618.64,185.6530994444567,96824.0,97618.64,185.6530994444567
54,X-n367-k17,29654.0,30448.16,326.53568972880544,48080.0,48848.16,751.9367593089196
55,X-n376-k94,188734.0,189283.32,798.8643355831243,282734.0,283283.32,798.8643355831243
56,X-n384-k52,87229.0,88156.16,578.3590061544819,143229.0,144156.16,578.3590061544819
57,X-n393-k38,45826.0,46170.32,199.9851494486528,84826.0,85170.32,199.9851494486528
58,X-n401-k29,77152.0,77676.76,303.01035185837026,107152.0,107676.76,303.01035185837026
